,Account Code,Latitude,Longitude
Stairways Behavioral Health,13159.1,44.95920012,-71.91375045
Spencer Technologies,13062.1,44.13887414,-72.00672836
Southern Vermont College,12985.1,44.91333579,-71.48475377
Southern Auto Auction,12956.1,44.78297839,-71.68280535
South Shore Hospital,12937.1,46.8930291,-69.6279824
Somerset Trust Company,12877.1,46.09287279,-68.51076238
SkillSoft,12765.1,45.7729098,-69.58792538
Sisters of Providence Health System,12744.1,45.90001112,-69.23113375
Simsbury Bank,12730.1,43.17610079,-71.7448701
Silver Hill Hospital,12695.1,45.75930197,-69.79518097
Signature Healthcare Brockton,12680.1,43.451482,-70.64336206
SeaChange,12438.1,46.60275634,-68.96677032
Schneider Downs,12375.1,46.06417587,-68.68990364
SBLI,12352.1,45.88533915,-69.69233987
Savings Bank Of Danbury,12347.1,44.34781177,-72.9774108
Savers Bank,12346.1,46.07347261,-69.56150125
Saint Joseph's College,12189.1,44.26595067,-69.50600614
Saint Anselm College,12177.1,46.88352671,-69.40619909
Safety Insurance,12156.1,45.20030153,-68.02787925
Ropes & Gray,12007.1,44.60124798,-71.41798154
Rocket Software,11953.1,42.89044047,-72.50006985
Roche Bros,11944.1,46.9255274,-69.05210589
Reit Management & Research,11777.1,44.60422354,-67.68744
Reeb Millwork,11746.1,43.17723087,-73.00347693
Reading Hospital & Medical Center,11698.1,46.39253233,-68.03508847
Questex Media Group,11559.1,46.19367174,-69.6951967
Public Consulting Group,11478.1,46.45937383,-68.51068089
Powerex,11320.1,44.62740844,-72.0532828
PLS Logistics,11236.1,45.52960337,-67.80113878
Pittsburgh Steelers,11202.1,47.15714419,-68.90404812
Pittsburgh Glass Works,11199.1,44.32591929,-69.8368854
Pioneer Investments,11189.1,44.16080898,-70.3997737
PetEdge,11076.1,46.14649556,-69.14946524
Perricone MD,11061.1,44.70191845,-67.64454029
Pentucket Bank,11019.1,43.40451798,-70.6557212
Pennoni Associates,11005.1,45.63124407,-69.57927706
Pegasystems,10978.1,45.05723176,-70.25600379
Passumpsic Savings Bank,10903.1,44.01935268,-71.52060339
Pacific Packaging Products,10790.1,45.02880206,-70.06400395
Organogenesis,10671.1,45.45328913,-70.5091677
Optos,10639.1,47.12180164,-68.53704356
Onward Healthcare,10617.1,46.16063265,-68.35516738
Omgeo,10576.1,43.7751563,-70.45789962
Oberg Industries,10468.1,45.20287696,-68.25359993
Nutter McClennen & Fish,10422.1,46.51379285,-69.12385831
Nova Corporation,10371.1,45.53599198,-70.17609414
Northwestern Medical Center,10353.1,45.86645356,-68.31950743
Northway Bank,10342.1,45.61000345,-69.256555
Northern Human Services,10317.1,45.09576056,-68.52742668
"North Shore Bank, A Co-Operative Bank",10284.1,46.25128977,-69.87795041
Next Generation Vending & Food Service,10176.1,45.49060813,-70.38652765
New England Home Care,10089.1,44.00722953,-71.22266307
Neighborhood Health Agencies,10030.1,46.69067833,-68.07627849
Natixis Global Asset Management,9967.1,44.13919716,-72.1975837
National Fire Protection Association,9908.1,43.25791615,-71.97359017
MorphoTrust USA,9700.1,46.7070544,-69.65019954
Moravian Hall Square,9679.1,44.70970839,-71.81644019
Moran Transportation Company,9678.1,46.91406441,-69.32656805
Menno Haven Penn Hall,9302.1,46.33330509,-68.61622191
MEMIC,9274.1,44.79013135,-69.7620988
Melissa & Doug,9269.1,44.16822985,-69.02628064
May Institute,9098.1,44.82461004,-71.88809829
MaineGeneral Health,8869.1,44.90180349,-71.86536476
Loomis Sayles,8675.1,46.5383198,-69.02702973
Littleton Regional Healthcare,8623.1,43.65501464,-72.27023603
KlingStubbins,8153.1,46.11950589,-68.19733466
Kimmel Center,8100.1,43.34276588,-71.79375914
Kennebec Valley Community College,8038.1,44.60807155,-67.81347852
"Ken's Foods, Inc.",8029.1,44.49671875,-72.05317136
Just Born,7915.1,43.48413647,-71.71614585
Journal Register Company,7899.1,46.12383233,-69.94399389
Janney Montgomery Scott LLC,7761.1,43.80088715,-70.55354204
J.C. Blair Memorial Hospital,7697.1,43.83386234,-70.68907257
iPipeline,7621.1,46.71594918,-68.70359623
iParty,7615.1,42.95396738,-72.48953351
Indiana Regional Medical Center,7392.1,44.3208098,-71.3740624
ImmunoGen,7353.1,44.0530145,-72.28459046
II-VI Incorporated,7329.1,45.9095699,-70.29729008
Houlton Regional Hospital,7167.1,43.43582907,-71.21073335
Honor Holdings,7118.1,44.56313946,-71.82365679
High Industries,6961.1,43.22486511,-71.21212072
Hersha Hospitality Trust,6936.1,46.65277979,-68.32487921
Hebrew College,6855.1,42.75328827,-72.2113256
HealthEdge,6820.1,42.86748345,-71.74785241
Haverford College,6738.1,43.79894067,-70.28396614
Harvard Vanguard Medical Associates,6721.1,44.58236836,-68.42368468
Harrisburg Area Community College,6698.1,46.47066066,-70.0624226
Hanover Hospital,6651.1,46.16542095,-70.16823453
Hain Pure Protein Corporation,6601.1,44.45862957,-69.89917393
Greenbriar Treatment Center,6444.1,44.76731254,-69.66793066
Great Hill Partners,6405.1,42.94755852,-71.71738761
Granite Telecommunications,6382.1,47.00735457,-68.63239071
Grand View Hospital,6369.1,43.0839494,-70.63408607
Graham Partners,6350.1,44.2213592,-72.47538256
Grace Cottage Hospital,6337.1,44.60304787,-72.54786269
Gordon Brothers,6320.1,44.59142257,-69.90797047
Giorgio Foods,6195.1,45.11034581,-67.94403441
Giles & Ransome,6187.1,44.34939264,-70.66529961
Gifford Medical Center,6178.1,46.84378996,-69.35839004
GID Investment Advisors,6177.1,45.32158192,-67.59410304
Genesee & Wyoming,6099.1,44.59414149,-67.80181881
Gemline,6062.1,43.1103514,-71.58555611
Galata Chemicals,5976.1,43.876018,-71.74224495
Fujifilm Medical Systems U.S.A.,5929.1,44.30508454,-69.5359623
Franklin Sports,5837.1,43.1161244,-71.77293217
Franklin Savings Bank,5836.1,44.72385618,-72.03737956
Franciscan Hospital For Children,5821.1,46.05244716,-69.86574658
Foster,5786.1,44.14816148,-70.25890403
Fletcher Allen Health Care,5653.1,45.45788661,-67.76771374
FCI Americas,5375.1,44.98574191,-69.98390914
Fairmont Supply Company,5304.1,43.16801119,-71.76006941
Extreme Reach,5271.1,44.48322673,-69.23618711
Exeter Health Resources,5250.1,44.75309723,-67.91366049
Executive Health Resources,5243.1,46.19601894,-68.56187759
Essroc Cement,5173.1,45.07749218,-69.95010565
Enel Green Power North America,5033.1,46.72296758,-68.26388301
Endless Mountains Health Systems,5029.1,43.11550839,-72.60349386
DZSP 21,4732.1,45.17546406,-68.85646994
Drug Plastics,4655.1,47.06002237,-69.56168558
Dovetail Health,4615.1,46.3198133,-70.20962845
Donegal Insurance Group,4586.1,44.48807265,-70.48907103
"Dickie, McCamey & Chilcote",4467.1,47.00338672,-69.67986361
Destination Maternity,4415.1,44.75805772,-72.6688188
Delta Health Technologies,4247.1,45.05228315,-68.14114344
Dedham Savings,4203.1,46.41910486,-68.30237075
Deb Shops,4189.1,45.77691566,-67.82618451
Dean College,4183.1,43.83890361,-71.80069756
Day Kimball Hospital,4155.1,44.16556967,-69.57542313
Dartmouth - Hitchcock Medical Center,4111.1,42.95167159,-71.89613376
Constant Contact,3658.1,44.50533554,-71.58266506
Conemaugh Health System,3621.1,44.19784965,-72.19383704
Compunetix,3587.1,44.69107081,-71.43098054
Composidie,3578.1,45.98471515,-69.0125878
Cochran Automotive,3392.1,44.12083841,-71.9017723
CMC Technology Group,3346.1,46.08181312,-70.18805198
ClickSquared,3310.1,46.13900215,-69.21437067
"Classic Industries, Inc",3267.1,47.12514873,-69.11920622
Clarks Companies North America,3264.1,44.72944466,-72.95220116
Clarion Industries,3245.1,44.69645683,-70.19374059
Chicopee Bancorp,2946.1,46.6851097,-68.82211655
Chester County Hospital,2920.1,43.43619726,-73.08394605
Chefs' Warehouse,2890.1,46.68820153,-68.60228645
Charleroi Federal Savings Bank,2851.1,45.30012645,-70.79607173
Chadwick Martin Bailey,2828.1,44.17393307,-70.04686352
Cervalis,2814.1,44.91436448,-71.10485117
Central Vermont Medical Center,2784.1,42.97307671,-71.71912949
Catholic Medical Center,2673.1,45.12475954,-71.27342596
Casella Waste Systems,2630.1,45.25309018,-70.1564934
Carwild,2612.1,43.38959395,-71.94499674
Cartus,2609.1,44.13483466,-72.59880516
CareCentrix,2514.1,44.54952376,-72.96780779
Carbonite,2486.1,42.68469252,-71.04261615
Cambridge Health Alliance,2408.1,44.56468079,-71.05549822
C.N. Brown,2307.1,46.11269065,-69.47066157
Bullhorn,2241.1,44.0677329,-72.98213925
Bridgeline Digital,2096.1,45.07431936,-70.14480005
Brentwood Industries,2082.1,46.05189119,-68.18765092
Brattleboro Retreat,2065.1,46.37606891,-68.27667558
Brandywine Realty Trust,2059.1,43.1974699,-72.47596079
Brainshark,2051.1,44.42569121,-72.06360487
Bradford White,2043.1,44.04467196,-72.93636249
Boston College,1995.1,44.83134054,-70.22369511
Boston Biomedical Associates,1993.1,46.69772826,-69.87847785
Boloco,1967.1,46.15037363,-69.61194862
Blair Medical Associates,1864.1,43.61044759,-71.50948445
Best Doctors,1750.1,43.45146983,-70.55980451
Berwind Corporation,1747.1,43.27964358,-72.00027053
"Bennett, Bricklin & Saltzburg",1706.1,46.02395173,-68.28375939
Bell & Evans,1662.1,45.54334407,-67.73789824
Beacon Capital Partners,1611.1,45.40582215,-69.77345448
BCBS of VT,1598.1,44.61186506,-69.61464913
Bay Cove Human Services,1552.1,45.00715929,-69.26995175
B. Braun Medical,1362.1,44.14848906,-69.48564647
Ashfield Healthcare,1133.1,46.77954858,-69.13905192
Armored AutoGroup,1051.1,43.77152308,-72.59545213
Arm Group,1048.1,46.132337,-69.98431904
Aqua America,964.1,44.94594181,-67.70817111
Analogic Corporation,842.1,45.43651972,-69.87535024
Ames True Temper,800.1,45.42918054,-70.63801185
American Renal Associates,743.1,46.78953973,-69.42487025
AMAG Pharmaceuticals,619.1,44.54665439,-70.17912619
Allied Health Care Services,552.1,44.85248862,-71.59919429
Allegheny Valley Bank,508.1,43.206105,-71.6816923
Alice Peck Day Memorial Hospital,488.1,45.97645546,-68.27650093
Aircastle Limited,390.1,46.25289057,-67.91725585
Aegerion Pharmaceuticals,288.1,44.82280353,-72.18595527
Adhesives Research,229.1,44.73623457,-68.05073195
Twin River Casino,49689620.1,45.87690547,-70.21442144
"TMNA SERVICES, LLC",7548566.1,44.4299276,-68.34210724
VLink,7572334.1,44.52575171,-70.54680263
"ClearSky Data, Inc.",44816314.1,44.14448596,-71.97847407
"Datto, Inc.",45382978.1,43.56518171,-71.11699551
"EDGE Technology Services, Inc.",7559312.1,43.48462995,-71.46903325
"G.I.D. SOLUTIONS, INC",24275277.1,42.68506031,-70.78792963
BNSF Railway,1929.1,31.24325603,-90.87521472
"Method3, Inc.",7223988.1,46.58112131,-68.10425055
Turbonomic,52520644.1,45.71618332,-69.26015592
Zotos International,16168.1,47.07323905,-67.96669556
Yarde Metals,16049.1,44.66325202,-72.72476581
Xanitos,16015.1,45.30764687,-69.09233149
Xaloy Inc,16013.1,45.44167547,-70.30068509
World Wrestling Entertainment,15973.1,45.72567747,-68.63506347
World Courier Group,15965.1,44.75173466,-72.10212819
Worcester Polytechnic Institute,15958.1,44.81334135,-68.08289862
Wise Foods,15905.1,43.55992886,-72.11831486
Windsor Federal Savings,15874.1,44.38395154,-69.74360144
Westfield State University,15740.1,45.91470086,-68.16789483
Wellesley College,15633.1,44.5536465,-68.91681014
Wellesley Bank,15632.1,43.15328736,-70.78456497
Weiler Corporation,15614.1,44.80900943,-70.10493067
Webster Bank,15604.1,43.58847751,-71.16950533
Watertown Savings Bank,15548.1,46.64133828,-69.90732514
Walsh Brothers,15488.1,45.48106996,-68.60624366
ViroPharma,15346.1,43.27837032,-70.81177099
Vintage Tub & Bath,15327.1,44.27625132,-72.68473128
Verisk Health,15259.1,45.30054207,-69.07919959
University of Bridgeport,14933.1,43.00469193,-71.32294017
Universal Wilde,14918.1,43.5369939,-70.15778177
United Refrigeration,14859.1,44.3600937,-72.80116084
Town Fair Tire Centers,14473.1,44.73076745,-72.59475443
Ticketnetwork,14358.1,45.89695904,-70.0438819
The Plastek Group,14231.1,43.1881237,-70.93062501
The Milford Bank,14195.1,44.97481346,-72.67208618
The Keeney Manufacturing Company,14158.1,44.41878375,-72.38953292
The Jay Group,14148.1,43.44373379,-71.42732874
The Horst Group,14139.1,43.8190546,-72.32851999
The Boston Company Asset Management,14059.1,45.65464333,-68.98455729
TDI Power,13872.1,42.94811608,-72.55097196
Swisher International,13741.1,44.73983637,-69.52015089
Susquehanna Bancshares,13706.1,45.05819931,-71.16025524
SunGard Public Sector,13637.1,45.12692876,-67.71627987
Standex International,13177.1,47.09624401,-69.03750774
Speare Memorial Hospital Association,13037.1,45.49614748,-70.69984127
South Central Connecticut Regional Water Authority,12919.1,47.02367648,-69.52140461
Sonus Networks,12891.1,44.42696342,-73.13572362
Somerset Hospital,12874.1,44.7487333,-67.68360287
Snyder Associated Companies,12834.1,44.84861063,-73.13357534
Sikorsky Financial Credit Union,12684.1,46.09542397,-69.36614586
Shippensburg University,12615.1,42.85176079,-72.23703575
Shawmut Design and Construction,12575.1,43.06219325,-72.38709429
Seven Hills Foundation,12555.1,45.05718112,-68.21254895
Senior Whole Health,12516.1,45.63117351,-70.02307915
SCA Americas,12357.1,44.60389228,-68.80371972
Salem State University,12212.1,43.83702345,-71.37325601
Saint Vincent Health Center,12202.1,43.49137647,-72.79042184
Saint Francis Care,12182.1,45.20479688,-68.18306682
RISO,11896.1,46.27433918,-68.51565551
Riggs Industries,11883.1,44.39432711,-71.33672653
Richelieu Foods,11873.1,44.65911687,-67.27299142
Reliance Standard Life Insurance,11781.1,43.50794367,-72.34370545
Rapid7,11659.1,45.46123219,-69.50699961
R. H. Sheppard,11586.1,45.11004463,-69.5690863
Quality Services Incorporated,11545.1,45.73648686,-68.08584743
Putnam Investments,11508.1,47.07111424,-69.49675169
Primus Technologies,11393.1,46.19699682,-68.77585927
PQ Corporation,11325.1,46.76952679,-68.80873821
Plymouth State University,11242.1,46.17614342,-68.46153814
Pittsburgh Pirates,11200.1,44.1507756,-72.24025419
PinnacleHealth System,11181.1,44.69061964,-72.20635329
Philly.com,11124.1,44.53242055,-71.87432475
Peoples Natural Gas,11028.1,43.293018,-71.147901
Penn Elk Regional Health Center,10994.1,45.67708497,-69.87622122
PC Construction Company,10941.1,44.5840259,-70.72256931
Oxford Instruments America,10754.1,43.55178817,-70.31541392
Olympia Sports,10567.1,45.20236971,-70.12966812
Nutrisystem,10421.1,44.0435581,-71.29505965
Nursery Supplies,10415.1,46.37966626,-69.82113801
NexTier Bank,10180.1,45.49483621,-67.93602932
Next Step Living,10177.1,44.26776012,-68.51026416
NewMarket International,10154.1,44.59736709,-71.76888452
New Castle Hotels,10081.1,43.70500731,-72.46264201
NetScout Systems,10071.1,44.34354615,-69.57819362
Neopost,10047.1,43.59081209,-70.32213278
Nemacolin Woodlands Resort,10039.1,43.27280205,-72.53822072
Nantucket Cottage Hospital,9853.1,44.48845917,-72.41794264
Mount Nittany Medical Center,9745.1,43.77279484,-71.91650202
"Morgan, Lewis & Bockius",9693.1,45.9914088,-68.58375685
ModusLink Global Solutions,9616.1,44.79907558,-72.86212784
Modular Space Corporation,9615.1,45.94324823,-69.32751804
Modern Group,9609.1,44.44981015,-68.36515801
Minitab,9549.1,45.53473287,-69.59143118
Millers Mutual Group,9528.1,43.28591716,-71.24991586
Millennium Pharmaceuticals,9515.1,44.28236755,-68.40476839
Milford Hospital,9506.1,42.9959819,-70.85016924
Mestek,9366.1,46.68770982,-69.10432625
MediMedia,9234.1,45.21058967,-68.62058164
MBI Inc,9112.1,45.0733056,-68.74232168
Massachusetts Medical Society,9043.1,43.87199545,-70.65286637
Massachusetts Maritime Academy,9042.1,43.59076455,-71.05215223
Massachusetts Eye & Ear Infirmary,9040.1,42.95419048,-71.76729842
"Marshall, Dennehey, Warner, Coleman & Goggin",8999.1,43.0994851,-71.50008703
Margaritas Management Group,8954.1,42.76629671,-71.19867696
Maine Maritime Academy,8868.1,45.01120244,-71.50228027
Magee Rehabilitation,8849.1,44.87893259,-71.17273321
Lutron Electronics,8784.1,44.84224343,-67.68304421
Lower Bucks Hospital,8725.1,44.29483139,-72.67089898
Litle & Co,8616.1,44.94729239,-67.76797113
Life Is Good,8534.1,42.71169701,-71.05391698
Lawrence General Regional Health System,8391.1,44.89729629,-68.08589376
Lasko Products,8373.1,45.84622418,-70.10714561
Lantheus Medical Imaging,8352.1,46.51084808,-69.35999227
Lancaster Newspapers,8313.1,45.59149976,-69.42293208
Lafayette College,8276.1,44.68888718,-67.22964398
Kunzler & Company,8232.1,44.6683088,-67.71474248
Kongsberg Defense Corporation,8189.1,43.6187848,-72.96813005
Knoll,8166.1,45.09479595,-69.54916803
Kings Country Shoppes,8120.1,46.98310819,-68.31660415
King's College,8115.1,47.05201789,-68.8646701
Keen Transport,8004.1,45.3892534,-68.1586064
Kadent,7932.1,43.66228209,-72.84521402
Johnstown Wire Technologies,7878.1,45.47898305,-68.83695426
Jersey Shore Hospital,7808.1,46.3757539,-68.05615081
IPG Photonics,7620.1,44.24889095,-71.55971708
International Data Group,7539.1,45.78668557,-68.55589241
Institution For Savings,7470.1,44.7970077,-69.86957095
Holy Spirit Health System,7084.1,44.51635957,-72.83473952
Hollingsworth and Vose,7064.1,44.1227178,-69.4205944
Hingham Institution for Savings,7013.1,44.65352536,-67.32977275
Hill Holliday,6986.1,43.46641769,-73.06589097
Hay Group,6751.1,45.24628917,-69.07741423
Harvey Industries,6723.1,43.97117439,-72.24391111
Harrington HealthCare,6689.1,46.49782172,-68.27175117
Harcum College,6663.1,43.20889338,-72.03158456
Hampden Bank,6627.1,43.85976963,-70.63570062
GW Plastics,6563.1,42.78957086,-72.77417166
GSI Health,6510.1,46.45933312,-69.26846647
Greenwood Gaming and Entertainment,6464.1,45.0727915,-69.63815591
Granite State Independent Living,6381.1,43.24502565,-70.51962536
Granite State College,6380.1,44.78338352,-68.39054911
Grane Healthcare,6373.1,44.41241551,-69.00109798
Goodwin Procter,6314.1,46.3644677,-68.02414476
Good Samaritan Health System,6283.1,43.96913893,-69.79854005
Glenn O. Hawbaker,6219.1,43.85830138,-72.1772049
Glenmede Trust Company,6218.1,45.48399845,-67.69443573
Genji,6111.1,46.26532298,-68.81724667
General Atlantic,6072.1,46.22769254,-67.88171176
Formed Fiber Technologies,5744.1,45.41593441,-70.61222653
Five Below,5635.1,46.50278612,-69.63648484
First Marblehead Corp,5551.1,44.43102209,-72.63890584
First Citizens Community Bank,5516.1,44.16393377,-71.32555964
Fenway Health,5430.1,45.06876639,-68.65402444
F.W. Webb,5281.1,44.47034864,-71.27707022
eResearchTechnology,5136.1,44.38739794,-69.49349888
Erdman Anthony,5134.1,44.70856096,-71.46433615
EPAM Systems,5102.1,45.54964992,-70.18848569
EOS CCA,5099.1,47.05902807,-68.31658214
EMD Serono,4976.1,46.76824929,-69.42506361
Elms College,4959.1,46.47850461,-70.00034754
Ellwood Group,4956.1,43.22042768,-72.30323562
Ellwood City Hospital,4955.1,44.45072277,-72.15159073
Elliott-Lewis,4952.1,45.7583586,-70.16430959
Electroswitch,4927.1,43.79880913,-71.82511508
Education Connection,4867.1,46.71362112,-68.28355651
EBP Supply Solutions,4818.1,45.77471858,-68.75028826
East Stroudsburg University,4784.1,43.11779094,-71.89106376
East Penn Manufacturing,4781.1,44.12215192,-73.10558488
Doylestown Hospital,4621.1,44.27476515,-68.79908419
Dover Saddlery,4614.1,43.723418,-70.30648668
Dorman Products,4593.1,42.82849425,-71.88754351
Discovery Laboratories,4523.1,46.07783687,-68.62890711
Dilworth Paxson LLP,4490.1,44.85229165,-71.68464306
Development Dimensions International,4431.1,44.96363099,-71.48667142
Delta-T Group,4251.1,46.88699067,-68.14018128
Defender Association of Philadelphia,4210.1,43.50327829,-71.51386235
DecisionOne,4198.1,44.79943848,-72.62437286
Dechert LLP,4196.1,46.27438164,-68.74220062
DDJ Capital Management,4173.1,44.02409506,-72.48220532
Cozen O'Connor,3844.1,43.63913003,-73.23187755
Copley Hospital,3722.1,44.54640165,-68.78465187
Coordinated Health Systems,3714.1,43.73064755,-72.0635265
Consigli Construction,3648.1,45.65996977,-69.68842331
Concert Pharmaceuticals,3606.1,44.88967593,-67.42337162
CompuGroup Medical,3585.1,44.57053883,-72.62018839
Community National Bank,3560.1,43.79560094,-71.77999145
Community Healthlink,3549.1,44.93275937,-68.94472125
Community College of Vermont,3532.1,44.23245401,-72.65326273
Community College of Philadelphia,3531.1,45.212735,-69.0288265
Community College of Allegheny County,3530.1,44.71065622,-69.7097875
Commonwealth Health,3513.1,44.51257906,-73.09195074
Clipper Magazine,3323.1,43.58788826,-72.47570228
Clearfield Bank & Trust Company,3289.1,43.34790383,-71.97671607
Clarion Hospital,3244.1,44.11766854,-70.57443242
CiDRA,3026.1,43.21892456,-71.75049473
Charter Baking Company,2874.1,43.47709771,-73.01941659
Charlesbank Capital Partners,2860.1,42.76198034,-71.41352143
Centria,2788.1,43.20463836,-72.48189118
Central New England Health Alliance,2770.1,44.00342815,-71.1878845
Central Connecticut State University,2754.1,43.5760835,-71.38981636
CBT Technology,2694.1,44.41050116,-70.55459342
Cardone Industries,2506.1,46.06741115,-69.42753978
Cambridge Associates,2407.1,46.68806539,-69.78060419
Calkins Media,2381.1,44.82035267,-70.44605473
Calgon Carbon Corporation,2357.1,42.79061348,-71.93274546
Calais Regional Hospital,2352.1,44.1956459,-70.58629113
Butler Health System,2280.1,43.76869432,-70.45633508
BOX Options Exchange,2030.1,44.82401945,-67.93841042
Boston University Medical Campus,2010.1,44.98627662,-69.64160831
Boston Red Sox,2006.1,46.06014606,-70.12327327
Boston Medical Center Health Plan,2002.1,43.69579838,-71.22510537
Boston Financial Data Services,1997.1,44.2301575,-72.28447964
Bob's Discount Furniture,1937.1,46.40068325,-69.93678131
Blue Sky Studios,1901.1,44.02900927,-71.25780052
Belmont Savings Bank,1675.1,46.99572681,-67.95729099
Beacon Health Strategies,1612.1,44.50909967,-70.68141967
Bartlett Nuclear,1519.1,45.66205195,-68.98742728
Barrett Distribution,1510.1,43.13052287,-73.23436657
Bard College at Simon's Rock,1485.1,46.95735015,-68.04754914
Barber National Institute,1481.1,43.95367517,-71.56146357
Backus Hospital,1374.1,44.54457914,-72.78976337
BabyAge.com,1369.1,42.75164197,-72.62050892
Auxilium Pharmaceuticals,1302.1,43.63372715,-71.49486774
Atlas Travel,1230.1,45.17107024,-68.66338071
Athenahealth,1194.1,43.28911308,-71.94990613
AspenTech,1148.1,42.92322593,-73.25407359
Aroostook Medical Center,1069.1,43.99468345,-69.53489806
ARIAD Pharmaceuticals,1022.1,43.60636323,-71.55610658
Arbor Networks,975.1,45.29452442,-68.8847059
Aptuit,961.1,46.97196981,-69.32827542
Apple Rehab,941.1,46.76531909,-67.90473912
Apollo Professional Solutions,927.1,43.33930545,-71.89733479
Anna Jaques Hospital,884.1,45.18269885,-69.4855194
ANH Refractories,875.1,45.25253955,-71.23092281
Anderson Power Products,856.1,43.25857007,-71.76224081
AmeriServ Financial,792.1,43.36233538,-70.42765618
Amarr Garage Doors,622.1,44.71846087,-67.69579287
AIReS,392.1,47.17818242,-68.81310165
Agero,340.1,44.81141216,-68.26415212
Aerzen USA,309.1,43.65357949,-72.82141577
Acronis,184.1,46.43976114,-69.486235
AccuWeather,160.1,47.07064579,-68.61042795
Accutrex Products,158.1,46.55237015,-68.05916366
Acadian Asset Management,130.1,44.14933984,-71.06445669
ABT Associates,118.1,45.46577258,-68.2326083
Aavid Thermalloy,84.1,42.93063247,-71.68743701
AAA East Central,68.1,42.7550381,-70.91414196
A&H Sportswear,39.1,46.41768448,-69.17985181
IT Solutions Consulting,7412112.1,46.95229808,-68.38487579
STAT Resources,3463706.1,44.72173393,-69.96907819
"ARRAYA SOLUTIONS, INC",10461370.1,44.59600195,-71.71078779
Boston Public Library,9741003.1,43.14115011,-70.51575984
Anexinet,46457601.1,44.5156484,-72.35647107
Donegal Group Inc,53803434.1,43.6284166,-70.84848252
"The Computer Merchant, Ltd.",7612945.1,44.36525036,-72.18121668
ICS,13956000.1,44.02957457,-73.12965822
Medica Corporation,9210084.1,45.66817524,-68.76519001
